SYMBOL,ASKPRICE,ASKQTY,BIDPRICE,BIDQTY,CLOSETIME,COUNT,FIRSTID,HIGHPRICE,LASTID,LASTPRICE,LASTQTY,LOWPRICE,OPENPRICE,OPENTIME,PREVCLOSEPRICE,PRICECHANGE,PRICECHANGEPERCENT,QUOTEVOLUME,VOLUME,WEIGHTEDAVGPRICE
DASHETH,0.03884000,98.22200000,0.03878000,7.00000000,1638428055101,1806,3522918,0.04113000,3524723,0.03877000,0.49900000,0.03799000,0.03799000,1638341655101,0.03799000,0.00078000,2.053,185.51873417,4787.97500000,0.03874681
OAXBTC,0.00000434,15900.00000000,0.00000431,7126.00000000,1638428042228,1398,8521696,0.00000449,8523093,0.00000434,221.00000000,0.00000430,0.00000438,1638341642228,0.00000439,-0.00000004,-0.913,3.70020433,841333.00000000,0.00000440
ICNBTC,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00005742,0.00000000,0.000,0.00000000,0.00000000,0.00000000
BTGBTC,0.00095700,13.10000000,0.00095500,34.22000000,1638428055782,1341,14648452,0.00098200,14649792,0.00095500,3.15000000,0.00095100,0.00097800,1638341655782,0.00097600,-0.00002300,-2.352,5.53064632,5727.24000000,0.00096567
BTGETH,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.05274500,0.00000000,0.000,0.00000000,0.00000000,0.00000000
EVXBTC,0.00001117,793.00000000,0.00001111,493.00000000,1638428016430,4259,10632472,0.00001262,10636730,0.00001111,300.00000000,0.00001107,0.00001213,1638341616430,0.00001222,-0.00000102,-8.409,16.85217087,1446367.00000000,0.00001165
EVXETH,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00062490,0.00000000,0.000,0.00000000,0.00000000,0.00000000
REQBTC,0.00001271,5160.00000000,0.00001269,2794.00000000,1638428056152,299771,9958716,0.00001532,10258486,0.00001271,392.00000000,0.00000904,0.00000938,1638341656152,0.00000938,0.00000333,35.501,1763.52092725,143361299.00000000,0.00001230
REQETH,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00004995,0.00000000,0.000,0.00000000,0.00000000,0.00000000
VIBBTC,0.00000088,455008.00000000,0.00000087,296548.00000000,1638428047574,1610,8418880,0.00000088,8420489,0.00000087,31441.00000000,0.00000085,0.00000088,1638341647574,0.00000087,-0.00000001,-1.136,11.93856188,13753549.00000000,0.00000087
VIBETH,0.00001100,1491.00000000,0.00001090,22900.00000000,1638427705406,942,2093528,0.00001104,2094469,0.00001098,5296.00000000,0.00001039,0.00001057,1638341305406,0.00001063,0.00000041,3.879,151.52808968,14174314.00000000,0.00001069
HSRETH,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.01247400,0.00000000,0.000,0.00000000,0.00000000,0.00000000
TRXBTC,0.00000171,3714981.00000000,0.00000170,2119347.00000000,1638428056432,13611,63495025,0.00000174,63508635,0.00000170,78.00000000,0.00000168,0.00000170,1638341656432,0.00000171,0.00000000,0.000,128.28140159,75258448.00000000,0.00000170
TRXETH,0.00002127,20788.00000000,0.00002125,38772.00000000,1638428055580,8727,31342434,0.00002142,31351160,0.00002126,629.00000000,0.00002048,0.00002055,1638341655580,0.00002053,0.00000071,3.455,547.81488398,26014097.00000000,0.00002106
POWRBTC,0.00001191,294.00000000,0.00001190,16.00000000,1638428048446,31492,14106344,0.00001269,14137835,0.00001190,1149.00000000,0.00001020,0.00001052,1638341648446,0.00001054,0.00000138,13.118,174.59366482,15077680.00000000,0.00001158
POWRETH,0.00014900,15000.00000000,0.00014850,745.00000000,1638428054003,2732,2815775,0.00015790,2818506,0.00014810,434.00000000,0.00012580,0.00012620,1638341654003,0.00012660,0.00002190,17.353,286.37480860,2014466.00000000,0.00014216
ARKBTC,0.00003239,273.00000000,0.00003230,46.90000000,1638428034400,2820,11651098,0.00003425,11653917,0.00003228,5.00000000,0.00003225,0.00003338,1638341634400,0.00003320,-0.00000110,-3.295,20.07490692,607066.40000000,0.00003307
ARKETH,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00104600,0.00000000,0.000,0.00000000,0.00000000,0.00000000
YOYOETH,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00005828,0.00000000,0.000,0.00000000,0.00000000,0.00000000
XRPBTC,0.00001715,47495.00000000,0.00001714,3375.00000000,1638428055842,34108,131290875,0.00001779,131324982,0.00001715,353.00000000,0.00001707,0.00001764,1638341655842,0.00001764,-0.00000049,-2.778,463.49602592,26680673.00000000,0.00001737
XRPETH,0.00021420,5476.00000000,0.00021410,2854.00000000,1638428056221,7864,24628849,0.00021770,24636712,0.00021440,645.00000000,0.00021150,0.00021230,1638341656221,0.00021230,0.00000210,0.989,984.95944060,4591405.00000000,0.00021452
MODBTC,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00004280,0.00000000,0.000,0.00000000,0.00000000,0.00000000
MODETH,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00116700,0.00000000,0.000,0.00000000,0.00000000,0.00000000
ENJBTC,0.00005994,314.60000000,0.00005991,229.40000000,1638428054742,38720,34123944,0.00006444,34162663,0.00005994,21.60000000,0.00005872,0.00006383,1638341654742,0.00006380,-0.00000389,-6.094,261.22693388,4243662.00000000,0.00006156
ENJETH,0.00075020,590.20000000,0.00074840,590.20000000,1638428056096,5126,7203289,0.00078760,7208414,0.00074880,594.30000000,0.00073690,0.00076960,1638341656096,0.00077010,-0.00002080,-2.703,394.74475128,518281.10000000,0.00076164
STORJBTC,0.00004244,1750.00000000,0.00004239,1750.00000000,1638428055065,9828,12220358,0.00004606,12230185,0.00004244,56.00000000,0.00004172,0.00004545,1638341655065,0.00004546,-0.00000301,-6.623,51.57955196,1176389.00000000,0.00004385
STORJETH,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.00029910,0.00000000,0.000,0.00000000,0.00000000,0.00000000
BNBUSDT,619.90000000,80.98900000,619.80000000,71.29200000,1638428056049,984650,474815150,649.80000000,475799799,619.80000000,0.03600000,605.50000000,629.00000000,1638341656049,629.00000000,-9.20000000,-1.463,893491242.67160000,1413269.04100000,632.21595942
VENBNB,0.00000000,0.00000000,0.00000000,0.00000000,1637926507747,0,-1,0.00000000,-1,0.00000000,0.00000000,0.00000000,0.00000000,1637840107747,0.14920000,0.00000000,0.000,0.00000000,0.00000000,0.00000000
